top - 21:30:59 up 1 day, 31 min,  1 user,  load average: 0.85, 0.72, 0.74
Tasks: 309 total,   1 running, 308 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.0 us,  3.0 sy,  0.0 ni, 92.1 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :   7327.8 total,    213.0 free,   4800.9 used,   2314.0 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2212.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2750 amieo     20   0   54.5g 214804  73368 S  12.5   2.9  14:42.54 code
  31704 amieo     20   0   49880   3892   3168 R  12.5   0.1   0:00.02 top
   1004 root      20   0 1052960  95780  12372 S   6.2   1.3  22:00.57 Xorg
   2697 amieo     20   0   32.7g  91988  36552 S   6.2   1.2   5:07.90 code
   3328 amieo     20   0 1130.3g 269176  70400 S   6.2   3.6  21:15.71 signal-+
      1 root      20   0  168712   7608   4012 S   0.0   0.1   0:03.84 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.95 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   0:37.99 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.33 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.88 ksoftir+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.33 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.73 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0.0   0.0   0:00.33 migrati+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.93 ksoftir+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     38 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     39 root      rt   0       0      0      0 S   0.0   0.0   0:00.33 migrati+
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.74 ksoftir+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     43 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     44 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     45 root      rt   0       0      0      0 S   0.0   0.0   0:00.33 migrati+
     46 root      20   0       0      0      0 S   0.0   0.0   0:00.75 ksoftir+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kauditd
     52 root      20   0       0      0      0 S   0.0   0.0   0:00.04 khungta+
     53 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     54 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     55 root      20   0       0      0      0 S   0.0   0.0   0:13.99 kcompac+
     56 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     57 root      39  19       0      0      0 S   0.0   0.0   0:00.41 khugepa+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.88 kworker+
    117 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
    119 root      20   0       0      0      0 S   0.0   0.0   0:20.30 kswapd0
    120 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    124 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
    125 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    153 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
    154 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
    155 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
    156 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
    157 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
    158 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
    159 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.59 kworker+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.92 kworker+
    214 root     -51   0       0      0      0 S   0.0   0.0   1:08.34 irq/37-+
    215 root     -51   0       0      0      0 S   0.0   0.0   0:00.01 irq/38-+
    216 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    242 root       0 -20       0      0      0 I   0.0   0.0   0:00.59 kworker+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amd_iom+
    248 root      -2   0       0      0      0 S   0.0   0.0   2:24.29 gfx
    249 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    250 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    251 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    252 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    253 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    254 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    255 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    256 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    257 root      -2   0       0      0      0 S   0.0   0.0   0:01.97 sdma0
    258 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 vcn_dec
    259 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 vcn_enc0
    260 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 vcn_enc1
    261 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 jpeg_dec
    262 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amdgpu_+
    263 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amdgpu_+
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amdgpu_+
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dm_vbla+
    266 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    267 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    268 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    269 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    271 root       0 -20       0      0      0 I   0.0   0.0   0:00.57 kworker+
    278 root       0 -20       0      0      0 I   0.0   0.0   0:00.88 kworker+
    349 root      20   0       0      0      0 S   0.0   0.0   0:15.37 jbd2/nv+
    350 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    401 root      19  -1   84408  31020  29288 S   0.0   0.4   0:03.15 systemd+
    434 root      20   0   25348   5184   1196 S   0.0   0.1   0:01.47 systemd+
    548 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    557 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 USBC000+
    580 root     -51   0       0      0      0 S   0.0   0.0   5:26.13 irq/82-+
    758 systemd+  20   0   24684   5348   1156 S   0.0   0.1   0:02.16 systemd+
